latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-15.33401,-63.93214,325.61,0.43,0.62,2024-05-09,1709,N20,VIIRS,n,2.0NRT,289.75,2.65,D
-16.64785,-68.31767,300.76,0.44,0.38,2024-05-10,557,N20,VIIRS,n,2.0NRT,277.5,1.41,N
-16.54773,-63.99374,326.97,0.39,0.59,2024-05-10,1830,N20,VIIRS,n,2.0NRT,287.43,3.05,D
-16.54624,-63.99424,326.58,0.39,0.59,2024-05-10,1830,N20,VIIRS,n,2.0NRT,287.76,1.87,D
-17.52304,-66.50314,300.05,0.38,0.36,2024-05-11,540,N20,VIIRS,n,2.0NRT,285.1,0.52,N
-16.64571,-68.31828,312.28,0.41,0.37,2024-05-11,540,N20,VIIRS,n,2.0NRT,278.82,2,N
-16.49609,-64.21691,305.84,0.42,0.37,2024-05-11,540,N20,VIIRS,n,2.0NRT,293.04,0.7,N
-16.16926,-63.98801,305.15,0.42,0.38,2024-05-11,540,N20,VIIRS,n,2.0NRT,293.88,1.28,N
-16.1687,-63.99194,314.49,0.42,0.38,2024-05-11,540,N20,VIIRS,n,2.0NRT,293.83,1.28,N
-17.68116,-67.84098,338.06,0.39,0.36,2024-05-11,1813,N20,VIIRS,n,2.0NRT,311.35,1.64,D
-17.64825,-66.30743,341.39,0.43,0.38,2024-05-11,1813,N20,VIIRS,n,2.0NRT,308.99,3.71,D
-17.07379,-63.67355,331.59,0.39,0.44,2024-05-11,1813,N20,VIIRS,n,2.0NRT,295.8,2.44,D
-16.72542,-64.01492,330.2,0.57,0.43,2024-05-11,1813,N20,VIIRS,n,2.0NRT,297.66,4.51,D
-16.55203,-63.96375,345.43,0.39,0.44,2024-05-11,1813,N20,VIIRS,n,2.0NRT,297.55,6.86,D
-16.54803,-63.96451,342.72,0.39,0.44,2024-05-11,1813,N20,VIIRS,n,2.0NRT,298.03,6.53,D
-16.49717,-63.86531,332.32,0.39,0.44,2024-05-11,1813,N20,VIIRS,n,2.0NRT,297.61,4.31,D
-16.49472,-63.98933,330.35,0.39,0.44,2024-05-11,1813,N20,VIIRS,n,2.0NRT,297.56,2.14,D
-16.47023,-63.90499,334.95,0.39,0.44,2024-05-11,1813,N20,VIIRS,n,2.0NRT,297.39,4,D
-16.38811,-63.86379,340.7,0.39,0.44,2024-05-11,1813,N20,VIIRS,n,2.0NRT,294.72,3.75,D
-16.3566,-63.82794,342.85,0.4,0.44,2024-05-11,1813,N20,VIIRS,n,2.0NRT,296.95,4.63,D
-16.35629,-63.82808,341.74,0.4,0.44,2024-05-11,1813,N20,VIIRS,n,2.0NRT,296.71,4.8,D
-16.14178,-63.9876,337.52,0.39,0.44,2024-05-11,1813,N20,VIIRS,n,2.0NRT,296.63,3.57,D
-17.72171,-66.29007,301.39,0.53,0.42,2024-05-12,523,N20,VIIRS,n,2.0NRT,288.56,0.9,N
-17.46542,-66.18887,339.37,0.42,0.37,2024-05-12,1752,N20,VIIRS,n,2.0NRT,312.59,3.51,D
-17.14132,-67.2841,344.29,0.45,0.39,2024-05-12,1752,N20,VIIRS,n,2.0NRT,309.91,19.95,D
-16.55438,-68.18133,334.65,0.5,0.41,2024-05-12,1752,N20,VIIRS,n,2.0NRT,301.05,3.51,D
-16.07988,-63.9167,337.22,0.39,0.36,2024-05-12,1752,N20,VIIRS,n,2.0NRT,299.32,4.8,D
-16.07711,-63.92084,351.09,0.39,0.36,2024-05-12,1752,N20,VIIRS,n,2.0NRT,301.39,18.28,D
-16.07656,-63.91724,336.77,0.39,0.36,2024-05-12,1752,N20,VIIRS,n,2.0NRT,301.56,11.95,D
-16.03396,-63.83937,340.56,0.39,0.36,2024-05-12,1752,N20,VIIRS,n,2.0NRT,299.48,4.77,D
-16.0334,-63.83577,332.52,0.39,0.36,2024-05-12,1752,N20,VIIRS,n,2.0NRT,298.49,4.03,D
-15.64879,-63.56636,329.16,0.39,0.36,2024-05-12,1752,N20,VIIRS,l,2.0NRT,300.88,2.9,D
-15.42557,-63.63798,335.76,0.39,0.36,2024-05-12,1752,N20,VIIRS,n,2.0NRT,298.12,1.98,D
-17.9949,-67.82962,346.57,0.32,0.55,2024-05-13,1734,N20,VIIRS,n,2.0NRT,303.14,0.93,D
-17.16888,-69.05144,331.69,0.38,0.59,2024-05-13,1734,N20,VIIRS,n,2.0NRT,304.45,2.4,D
-17.05354,-67.58147,334.18,0.64,0.72,2024-05-14,1713,N20,VIIRS,n,2.0NRT,296.37,7.06,D